CARACTERÍSTICAS ESCOLA CÓDIGO DA ENTIDADE,NOME DA ENTIDADE,SIGLA DA UF,MUNICÍPIO,DEPENDÊNCIA ADMINISTRATIVA,LOCALIZAÇÃO,NÚMERO DE ALUNOS NO CENSO,PORTE DA ESCOLA,NÚMERO DE PARTICIPANTES NO ENEM,TAXA DE PARTICPAÇÃO,NÚMERO DE PARTICIPANTES COM NECESSIDADES ESPECIAIS,INDICADORES INDICADOR DE PERMANENCIA NA ESCOLA,INDICADOR NÍVEL SOCIOECONÔMICO,FAIXA - INDICADOR DE FORMAÇÃO DOCENTE,INDICADOR DE FORMAÇÃO DOCENTE,TAXA DE APROVAÇÃO,TAXA DE REPROVAÇÃO,TAXA DE ABANDONO,DESEMPENHO  CIÊNCIAS DA NATUREZA E SUAS TECNOLOGIAS MÉDIA DOS 30 MELHORES ALUNOS DA ESCOLA,MÉDIA,Percentual alunos NÍVEL 1,Percentual alunos NÍVEL 2,Percentual alunos NÍVEL 3,Percentual alunos NÍVEL 4,Percentual alunos NÍVEL 5
2.6054043E7,ESCOLA DE REFERENCIA EM ENSINO MEDIO DOM MIGUEL DE LIMA VALVERDE,PE,CARUARU,Estadual,Urbana,122.0,Mais que 90 alunos,111.0,90.98360655737704,0.0,80% ou mais,Médio,Maior que 50%,67.5,93.6,6.4,0.0,576.2766666666666,503.8504504504505,21.62162162162162,54.95495495495496,23.423423423423422,0.0,0.0
2.605414E7,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA AUXILIADORA LIBERATO,PE,CARUARU,Estadual,Urbana,175.0,Mais que 90 alunos,99.0,56.57142857142857,2.0,80% ou mais,Médio,Até 50%,41.5,93.0,7.0,0.0,551.69,483.8727272727273,29.292929292929294,57.57575757575758,13.131313131313133,0.0,0.0
2.6054809E7,ESCOLA DE REFERENCIA EM ENSINO MEDIO PADRE ZACARIAS TAVARES,PE,CARUARU,Estadual,Urbana,278.0,Mais que 90 alunos,158.0,56.83453237410072,0.0,De 60% a 80%,Médio,Maior que 50%,55.7,83.9,12.9,3.2,534.5400000000001,460.3987341772152,44.303797468354425,52.53164556962025,3.1645569620253164,0.0,0.0
2.605521E7,ESCOLA JOSE CARLOS FLORENCIO,PE,CARUARU,Estadual,Urbana,95.0,Mais que 90 alunos,49.0,51.578947368421055,0.0,De 40% a 60%,Médio,Até 50%,40.4,92.4,7.6,0.0,503.64000000000004,467.86326530612246,36.734693877551024,59.183673469387756,4.081632653061225,0.0,0.0
2.6053764E7,COLEGIO ATUAL,PE,CARUARU,Privada,Urbana,83.0,De 61 a 90 alunos,77.0,92.7710843373494,0.0,80% ou mais,Muito Alto,Maior que 50%,58.4,100.0,0.0,0.0,619.76,555.2142857142857,3.896103896103896,36.36363636363637,51.94805194805194,7.792207792207792,0.0
2.6053837E7,COLEGIO DIOCESANO DE CARUARU,PE,CARUARU,Privada,Urbana,197.0,Mais que 90 alunos,188.0,95.43147208121827,0.0,De 60% a 80%,Alto,Maior que 50%,52.9,96.1,3.3,0.6,672.7633333333334,558.3531914893616,7.446808510638298,37.234042553191486,45.21276595744681,9.574468085106384,0.5319148936170213
2.6053993E7,COLEGIO ADVENTISTA DE CARUARU,PE,CARUARU,Privada,Urbana,37.0,De 31 a 60 alunos,35.0,94.5945945945946,0.0,De 60% a 80%,Médio Alto,Até 50%,42.9,93.3,6.7,0.0,529.8466666666668,516.0142857142857,11.428571428571429,68.57142857142857,20.0,0.0,0.0
2.6054E7,COLEGIO ANTENOR SIMOES RODRIGUES,PE,CARUARU,Privada,Urbana,37.0,De 31 a 60 alunos,35.0,94.5945945945946,0.0,80% ou mais,Médio Alto,Maior que 50%,51.0,97.2,2.8,0.0,513.2166666666667,492.54,28.57142857142857,42.857142857142854,28.57142857142857,0.0,0.0
2.6055198E7,COLEGIO INTERATIVO JARDIM DA CRIANCA,PE,CARUARU,Privada,Urbana,30.0,De 1 a 30 alunos,26.0,86.66666666666667,0.0,80% ou mais,Alto,Até 50%,40.0,97.7,2.3,0.0,,532.2269230769231,3.8461538461538463,73.07692307692307,23.076923076923077,0.0,0.0
2.6055406E7,ESC SNTª MARIA DOS ANJOS CASA DA CRIANCA,PE,CARUARU,Privada,Urbana,25.0,De 1 a 30 alunos,24.0,96.0,0.0,De 60% a 80%,Médio Alto,Maior que 50%,51.4,93.8,6.2,0.0,,493.78749999999997,12.5,79.16666666666666,8.333333333333332,0.0,0.0
